Date,Quarter,Qtr,Year,Customer ID,Total_amount,Profit Percentage(%),Profit (INR),Cost Price 
Mon Jan 01 00:00:00 CET 2018,2018 - Q1,B07FWXWZT,1084.0,13.0%,869.13
Tue Jan 02 00:00:00 CET 2018,2018 - Q1,B07FWVXXU,725.0,17.0%,531.2
Wed Jan 03 00:00:00 CET 2018,2018 - Q1,B07FWVXZS,800.0,17.0%,593.45
Thu Jan 04 00:00:00 CET 2018,2018 - Q1,B07FWYXVQ,650.0,13.0%,491.55
Thu Jan 04 00:00:00 CET 2018,2018 - Q1,B07FWXATQ,579.0,13.0%,429.78
Fri Jan 05 00:00:00 CET 2018,2018 - Q1,B07FWYYRZ,510.0,13.0%,369.75
Fri Jan 05 00:00:00 CET 2018,2018 - Q1,B07FWYSTS,650.0,13.0%,491.55
Fri Jan 05 00:00:00 CET 2018,2018 - Q1,B07FWXVTV,650.0,13.0%,491.55
Sat Jan 06 00:00:00 CET 2018,2018 - Q1,B07FWWTVV,285.0,17.0%,166.0
Sat Jan 06 00:00:00 CET 2018,2018 - Q1,B07FWXSXU,695.0,17.0%,506.3
Sat Jan 06 00:00:00 CET 2018,2018 - Q1,B07FWXSVW,628.0,13.0%,472.41
Sat Jan 06 00:00:00 CET 2018,2018 - Q1,B07FWYXQQ,628.0,13.0%,472.41
Sat Jan 06 00:00:00 CET 2018,2018 - Q1,B07FWYXZX,730.0,13.0%,561.15
Sun Jan 07 00:00:00 CET 2018,2018 - Q1,B07FWYVTZ,650.0,13.0%,491.55
Sun Jan 07 00:00:00 CET 2018,2018 - Q1,B07FWVYWQ,628.0,13.0%,472.41
Sun Jan 07 00:00:00 CET 2018,2018 - Q1,B07FWYTRU,1084.0,13.0%,869.13
Mon Jan 08 00:00:00 CET 2018,2018 - Q1,B07FWXWVY,1084.0,13.0%,869.13
Mon Jan 08 00:00:00 CET 2018,2018 - Q1,B07FWXSZQ,695.0,17.0%,506.3
Mon Jan 08 00:00:00 CET 2018,2018 - Q1,B07FWYZWR,535.0,17.0%,373.5
Mon Jan 08 00:00:00 CET 2018,2018 - Q1,B07FWWWZU,725.0,17.0%,531.2
Mon Jan 08 00:00:00 CET 2018,2018 - Q1,B07FWVVTW,650.0,13.0%,491.55
Mon Jan 08 00:00:00 CET 2018,2018 - Q1,B07FWYWQV,775.0,17.0%,572.7
Tue Jan 09 00:00:00 CET 2018,2018 - Q1,B07FWXVXV,1084.0,13.0%,869.13
Tue Jan 09 00:00:00 CET 2018,2018 - Q1,B07FWWUVR,570.0,13.0%,421.95
Tue Jan 09 00:00:00 CET 2018,2018 - Q1,B07FWXUQW,1565.0,13.0%,1287.6
Tue Jan 09 00:00:00 CET 2018,2018 - Q1,B07FWXSXX,1565.0,13.0%,1287.6
Tue Jan 09 00:00:00 CET 2018,2018 - Q1,B07FWWTSR,1044.0,18.0%,786.38
Wed Jan 10 00:00:00 CET 2018,2018 - Q1,B07FWWWVX,345.0,17.0%,215.8
Wed Jan 10 00:00:00 CET 2018,2018 - Q1,B07FWVVTS,695.0,17.0%,506.3
Wed Jan 10 00:00:00 CET 2018,2018 - Q1,B07FWXWYU,695.0,17.0%,506.3
Thu Jan 11 00:00:00 CET 2018,2018 - Q1,B07FWYTVQ,285.0,17.0%,166.0
Thu Jan 11 00:00:00 CET 2018,2018 - Q1,B07FWVWYU,995.0,13.0%,791.7
Thu Jan 11 00:00:00 CET 2018,2018 - Q1,B07FWYYST,695.0,17.0%,506.3
Fri Jan 12 00:00:00 CET 2018,2018 - Q1,B07FWWBVW,550.0,13.0%,404.55
Fri Jan 12 00:00:00 CET 2018,2018 - Q1,B07FWWTSZ,695.0,17.0%,506.3
Fri Jan 12 00:00:00 CET 2018,2018 - Q1,B07FWWTWR,1084.0,13.0%,869.13
Fri Jan 12 00:00:00 CET 2018,2018 - Q1,B07FWVYWZ,1044.0,18.0%,786.38
Fri Jan 12 00:00:00 CET 2018,2018 - Q1,B07FWWBQX,510.0,13.0%,369.75
Fri Jan 12 00:00:00 CET 2018,2018 - Q1,B07FWXYZS,730.0,13.0%,561.15
Fri Jan 12 00:00:00 CET 2018,2018 - Q1,B07FWVBUV,695.0,17.0%,506.3
Fri Jan 12 00:00:00 CET 2018,2018 - Q1,B07FWYUWS,700.0,17.0%,510.45
Fri Jan 12 00:00:00 CET 2018,2018 - Q1,B07FWYVTY,550.0,13.0%,404.55
Sat Jan 13 00:00:00 CET 2018,2018 - Q1,B07FWXWXW,510.0,13.0%,369.75
Sat Jan 13 00:00:00 CET 2018,2018 - Q1,B07FWWWZV,853.0,17.0%,637.44
Sat Jan 13 00:00:00 CET 2018,2018 - Q1,B07FWXYTR,725.0,17.0%,531.2
Sun Jan 14 00:00:00 CET 2018,2018 - Q1,B07FWXBXU,260.0,17.0%,145.25
Sun Jan 14 00:00:00 CET 2018,2018 - Q1,B07FWXYVT,1044.0,18.0%,786.38
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWYBZQ,260.0,17.0%,145.25
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWYTZV,984.0,13.0%,782.13
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWXYYR,853.0,17.0%,637.44
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWXVVT,853.0,17.0%,637.44
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWWBRT,853.0,17.0%,637.44
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWWSZU,984.0,13.0%,782.13
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWXYYW,984.0,13.0%,782.13
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWWWQW,550.0,13.0%,404.55
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWWAXS,984.0,13.0%,782.13
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWYTUW,510.0,13.0%,369.75
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWYYYR,1335.0,13.0%,1087.5
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWWAZW,984.0,13.0%,782.13
Mon Jan 15 00:00:00 CET 2018,2018 - Q1,B07FWXXVY,984.0,13.0%,782.13
Tue Jan 16 00:00:00 CET 2018,2018 - Q1,B07FWYVTV,984.0,13.0%,782.13
Wed Jan 17 00:00:00 CET 2018,2018 - Q1,B07FWYBZU,550.0,13.0%,404.55
Wed Jan 17 00:00:00 CET 2018,2018 - Q1,B07FWWSXY,550.0,13.0%,404.55
Wed Jan 17 00:00:00 CET 2018,2018 - Q1,B07FWYYWW,984.0,13.0%,782.13
Wed Jan 17 00:00:00 CET 2018,2018 - Q1,B07FWXAZU,984.0,13.0%,782.13
Wed Jan 17 00:00:00 CET 2018,2018 - Q1,B07FWWTTS,984.0,13.0%,782.13
Thu Jan 18 00:00:00 CET 2018,2018 - Q1,B07FWWYZZ,765.0,17.0%,564.4
Thu Jan 18 00:00:00 CET 2018,2018 - Q1,B07FWVXYS,984.0,13.0%,782.13
Fri Jan 19 00:00:00 CET 2018,2018 - Q1,B07FWWTTS,984.0,13.0%,782.13
